,frame,pred_x,pred_y
1177,1178,785,-26
1178,1179,811,-178
1179,1180,720,-18
1180,1181,778,-91
1181,1182,740,-78
1182,1183,740,-14
1183,1184,725,-80
1184,1185,793,-291
1185,1186,818,-230
1186,1187,727,-103
1187,1188,795,-43
1188,1189,783,-110
1189,1190,861,-131
1190,1191,758,151
1191,1192,848,-36
1192,1193,724,20
1193,1194,741,-10
1194,1195,844,-158
1195,1196,800,28
1196,1197,864,-20
1197,1198,856,-65
1198,1199,835,-8
1199,1200,890,-25
1200,1201,761,309
1201,1202,779,169
1202,1203,764,170
1203,1204,751,-58
1204,1205,825,37
1205,1206,815,62
1206,1207,881,-22
1207,1208,938,235
1208,1209,997,286
1209,1210,997,289
1210,1211,1078,448
1211,1212,1065,358
1212,1213,1057,379
1213,1214,1048,399
1214,1215,977,430
1215,1216,996,423
1216,1217,1056,364
1217,1218,1061,390
1218,1219,1040,373
1219,1220,1098,366
1220,1221,1044,402
1221,1222,1084,541
1222,1223,1057,505
1223,1224,1092,442
1224,1225,1021,415
1225,1226,1011,319
1226,1227,1011,299
1227,1228,945,348
1228,1229,985,295
1229,1230,976,441
1230,1231,962,291
1231,1232,1018,433
1232,1233,1043,415
1233,1234,987,408
1234,1235,1010,313
1235,1236,996,448
1236,1237,946,426
1237,1238,932,253
1238,1239,929,264
1239,1240,939,291
1240,1241,974,373
1241,1242,1021,407
1242,1243,982,356
1243,1244,1015,382
1244,1245,1021,364
1245,1246,889,325
1246,1247,970,378
1247,1248,987,308
1248,1249,1035,314
1249,1250,1024,246
1250,1251,1074,364
1251,1252,1006,273
1252,1253,1104,274
1253,1254,1096,335
1254,1255,1043,300
1255,1256,1032,216
1256,1257,1038,210
1257,1258,1110,214
1258,1259,1155,194
1259,1260,1099,264
1260,1261,1051,351
1261,1262,1024,338
1262,1263,1065,380
1263,1264,1041,383
1264,1265,1035,357
1265,1266,1038,345
1266,1267,1170,298
1267,1268,980,331
1268,1269,946,284
1269,1270,1001,335
1270,1271,991,423
1271,1272,1021,269
1272,1273,1059,337
1273,1274,1054,266
1274,1275,1061,419
1275,1276,1097,362
1276,1277,1107,344
1277,1278,992,238
1278,1279,1062,262
1279,1280,1009,242
1280,1281,1072,361
1281,1282,1102,342
1282,1283,1019,307
1283,1284,1041,329
1284,1285,925,297
1285,1286,1005,220
1286,1287,1020,285
1287,1288,965,364
1288,1289,1048,323
1289,1290,937,380
1290,1291,1041,403
1291,1292,1028,402
1292,1293,1012,366
1293,1294,1015,356
1294,1295,1089,213
1295,1296,967,300
1296,1297,1133,267
1297,1298,1112,161
1298,1299,1129,129
1299,1300,603,145
1300,1301,579,276
1301,1302,511,235
1302,1303,426,244
1303,1304,451,181
1304,1305,542,306
1305,1306,422,414
1306,1307,488,266
1307,1308,484,313
1308,1309,484,358
1309,1310,577,329
1310,1311,533,309
1311,1312,514,253
1312,1313,574,382
1313,1314,485,403
1314,1315,507,370
1315,1316,593,323
1316,1317,471,380
1317,1318,453,369
1318,1319,539,394
1319,1320,590,365
1320,1321,497,443
1321,1322,481,439
1322,1323,438,444
1323,1324,405,459
1324,1325,469,365
1325,1326,472,347
1326,1327,488,401
1327,1328,437,455
1328,1329,505,265
1329,1330,473,327
1330,1331,478,404
1331,1332,513,503
1332,1333,543,356
1333,1334,514,216
1334,1335,511,249
1335,1336,477,264
1336,1337,503,259
1337,1338,571,267
1338,1339,456,205
1339,1340,499,246
1340,1341,516,348
1341,1342,475,305
1342,1343,534,341
1343,1344,497,378
1344,1345,456,328
1345,1346,476,397
1346,1347,407,388
1347,1348,448,264
1348,1349,550,271
1349,1350,456,371
1350,1351,520,324
1351,1352,569,390
1352,1353,582,463
1353,1354,483,471
1354,1355,442,442
1355,1356,505,393
1356,1357,515,442
1357,1358,501,384
1358,1359,462,403
1359,1360,462,382
1360,1361,475,398
1361,1362,450,371
1362,1363,484,402
1363,1364,482,372
1364,1365,539,183
1365,1366,546,200
1366,1367,494,196
1367,1368,520,249
1368,1369,541,371
1369,1370,591,425
1370,1371,485,551
1371,1372,501,528
1372,1373,460,516
1373,1374,470,511
1374,1375,537,385
1375,1376,488,449
1376,1377,577,422
1377,1378,476,335
1378,1379,484,354
1379,1380,421,408
1380,1381,539,350
1381,1382,565,334
1382,1383,552,393
